WKT,Категория,Категория #,Град/район,Име,name,description,Категория #
"LINESTRING (24.769126 42.137537, 24.770338 42.13616, 24.772097 42.136606, 24.776273 42.130537)",Велоалеи,1.0,Пловдив,ул. Проф. Цветан Лазаров,,,
"LINESTRING (24.790804 42.135605, 24.799645 42.133438, 24.798068 42.129492, 24.79197 42.12646, 24.786119 42.126651, 24.773332 42.122664, 24.770155 42.127186, 24.763333 42.135512, 24.763228 42.154121)",Велоалеи,1.0,Пловдив,ул. Менделеев -  ул. Цар Симеон -  ул. Шипка,,,
"LINESTRING (24.799645 42.133438, 24.800666 42.13462, 24.801413 42.135449, 24.803061 42.140924, 24.797536 42.141851, 24.791113 42.139058)",Велоалеи,1.0,Пловдив,ул. Цар Симеон -  ул. Св. Княз Борис I – Покръстител,,,
"LINESTRING (24.771137 42.153048, 24.770638 42.153556, 24.77016 42.154875)",Велоалеи,1.0,Пловдив,Line 16,,,
"LINESTRING (24.751727 42.144887, 24.751838 42.144794, 24.751672 42.144652, 24.751718 42.144567, 24.751762 42.143224)",Велоалеи,1.0,Пловдив,Line 17,,,
"LINESTRING (24.766196 42.152848, 24.764742 42.160225)",Велоалеи,1.0,Пловдив,бул. Северен,,,
"LINESTRING (24.705863 42.15469, 24.713106 42.155897, 24.722795 42.156785, 24.738141 42.159132, 24.74235 42.158996, 24.748661 42.159278, 24.758275 42.159371, 24.761516 42.15991, 24.764742 42.160225)",Велоалеи,1.0,Пловдив,бул. България,,,
"LINESTRING (24.729653 42.161507, 24.73079 42.158039, 24.731072 42.14765)",Велоалеи,1.0,Пловдив,бул. Васил Априлов,,,
"LINESTRING (24.716859 42.150718, 24.696238 42.137565, 24.697268 42.136627, 24.717027 42.149198, 24.71765 42.150065)",Велоалеи,1.0,Пловдив,Line 19,,,
"LINESTRING (23.3444067 42.6925874, 23.3461152 42.6936075, 23.3462345 42.6937317, 23.346319 42.6939387, 23.3463445 42.6941092)",Велоалеи,1.0,София,Line 87,,,
"LINESTRING (23.3463837 42.6942095, 23.346773 42.696075)",Велоалеи,1.0,София,Line 88,,,
"LINESTRING (23.316581 42.689318, 23.318314 42.694951)",Велоалеи (неотделени от движението),2.0,София,Противопосочна велолента - ул. Княз Борис I,,,
"LINESTRING (23.29134 42.7111836, 23.282966 42.7153986, 23.282697 42.7154396, 23.2811619 42.7162286, 23.2811029 42.7163476, 23.2790164 42.7174571)",Велоалеи (неотделени от движението),2.0,София,бул. Сливница,,,
"LINESTRING (23.299379 42.707032, 23.300624 42.706409, 23.301976 42.706164, 23.304594 42.705849, 23.305334 42.705786, 23.307126 42.705865, 23.3175 42.705108)",Велоалеи (неотделени от движението),2.0,София,Велолента - бул. Сливница - южна,,,
"LINESTRING (23.317554 42.705697, 23.30734 42.706422, 23.306525 42.706312, 23.305752 42.706114, 23.305152 42.706028, 23.301171 42.706493, 23.300506 42.706698, 23.299454 42.707218)",Велоалеи (неотделени от движението),2.0,София,Велолента - бул. Сливница - север,,,
"LINESTRING (23.2712051 42.7113054, 23.2734371 42.7122674, 23.2741771 42.7126934, 23.2747881 42.7131664, 23.2772241 42.7158544, 23.2787193 42.717452, 23.2788635 42.7174881, 23.2790076 42.7174769)",Велоалеи (неотделени от движението),2.0,София,Велолента - бул. д-р Петър Дертлиев - изток,,,
"LINESTRING (23.326486 42.667531, 23.326843 42.666934, 23.326955 42.666654, 23.326996 42.66634, 23.326963 42.666105, 23.326848 42.66574, 23.326566 42.66533, 23.326317 42.665064, 23.325483 42.664164, 23.325029 42.663701, 23.324632 42.663535, 23.324069 42.663421, 23.323501 42.6632, 23.322849 42.662932, 23.322082 42.66259, 23.3215 42.662212, 23.319552 42.660936, 23.319162 42.660752)",Велоалеи (неотделени от движението),2.0,София,Велолента - ул. Сребърна -  ул. Люба Величкова -  ул. Атанас Дуков – север,,,
"LINESTRING (23.345368 42.646965, 23.346392 42.649305, 23.347232 42.651165, 23.347627 42.654519, 23.349351 42.654415, 23.349554 42.656781, 23.347907 42.659343)",Велоалеи (неотделени от движението),2.0,София,Велолента - Студентски град,,,
"LINESTRING (23.375039 42.639106, 23.375181 42.630316, 23.375003 42.630316, 23.374865 42.639107)",Велоалеи (неотделени от движението),2.0,София,Велоалея - жк. Младост,,,
"LINESTRING (23.403465 42.64766, 23.40558 42.651317, 23.405881 42.651143, 23.403794 42.647498)",Велоалеи (неотделени от движението),2.0,София,бул. Копенхаген,,,
"LINESTRING (23.345368 42.646965, 23.344985 42.642958, 23.344809 42.642849, 23.342129 42.643015)",Велоалеи (неотделени от движението),2.0,София,Line 80,,,
"LINESTRING (23.29134 42.7111836, 23.2980587 42.707856, 23.2990352 42.7072885)",Велоалеи (неотделени от движението),2.0,София,Велолента - Бул. Сливница ,,,
"LINESTRING (23.319395 42.660483, 23.319887 42.660656, 23.321279 42.661912, 23.322864 42.662804, 23.324009 42.663148, 23.32456 42.663314, 23.325058 42.663519, 23.32582 42.664345, 23.326614 42.665245, 23.327086 42.665806, 23.327182 42.666415, 23.327011 42.667026, 23.326657 42.667574)",Велоалеи (неотделени от движението),2.0,София,Велолента - ул. Сребърна -  ул. Люба Величкова -  ул. Атанас Дуков – север,,,
"LINESTRING (23.322241 42.694557, 23.322914 42.6936, 23.323863 42.692519, 23.326047 42.690486, 23.331267 42.686321)",Удобни,3.0,София,Графа,,,
"LINESTRING (23.321404 42.678662, 23.319628 42.678094, 23.31899 42.677794, 23.314674 42.675515, 23.314277 42.675233, 23.313931 42.675049)",Удобни,3.0,София,Арсеналски,,,
